title,year,cast,director,genre,description,video,image,category
Ghost Stories,2000,"Hilary Haag, Monica Rial, Chris Patton, Greg Ayres, Christine Auten",Noriyuki Abe,horror ,"Ghost Stories follows Satsuki Miyanoshita, who moves with her family to the hometown of her deceased mother. On her first day of school, Satsuki, her brother Keiichirou (a first-grader), Hajime Aoyama (their neighbor), Momoko Koigakubo (an older schoolmate), and Leo Kakinoki (a classmate and friend of Hajime's with a penchant for the paranormal) visit the abandoned school building adjacent the current school complex and discover that the building is haunted.",https://youtu.be/jbXkfSG-rpg,/images/posters/Ghost Stories.jpg,anime
Gintama,2006,"Michael Daingerfield, Cole Howard, Jocelyne Loewen, Adam Gibbs, Joe Daniels",Shinji Takamatsu,comedy ,A samurai and his quirky band of friends take odd-jobs in an alternate version of feudal Japan that has been conquered by aliens.,https://youtu.be/GWeuZr6fT6o,/images/posters/Gintama.jpg,anime
Happiness,2021,"Park Hyung-Sik, Han Hyo-joo, Jo Woo-jin, Moon Ye-won, Lee Joo Seung",Ahn Gil-ho,fantasy ,Residents of an apartment building must band together to survive a deadly virus that is spreading throughout the city.,https://youtu.be/G2EiCIyY54I,/images/posters/Happiness.jpg,series
Hellbound,2021,"Yoo Ah-in, Kim Hyun-joo, Park Jung-min, Won Jin-ah, Kim Mi-soo",Choi Gyu-seok,mystery ,"Unearthly beings deliver condemnations, sending individuals to hell and giving rise to a religious group founded on the idea of divine justice.",https://youtu.be/UWfgm20-LTM,/images/posters/Hellbound.jpg,series
Higashi no Eden,2009,"Akira Takizawa, Kuroha Diana Shiratori, Saki Morimi, Satoshi Osugi, Yutaka Itazu",Kenji Kamiyama,romance ,"When Saki Morimi gets into trouble with the police in Washington D.C., she is helped by a Japanese man who calls himself, Akira Takizawa.",https://youtu.be/zfQ4e1iRoak,/images/posters/Higashi no Eden.jpg,anime
High School DxD,2012,"Yūki Kaji, Yōko Hikasa, Shizuka Itō, Azumi Asakura, Ayana Taketatsu",Takao Yoshioka,romance ,"High school student Issei is brought back from the dead after a tragic first date. His saviour, however, is a devil, and now he must serve her and her entire family.",https://www.youtube.com/watch?v=tYDDS0OzV_Q,/images/posters/High School DxD.jpg,anime
I'm Standing on a Million Lives,2020,"Yūto Uemura,  Risa Kubota, Azumi Waki, Makoto Koichi, Chiwa Saitō",Kumiko Habara,fantasy ,"Yuusuke Yotsuya, Iu Shindo, and Kusue Hakozaki were transported by a mysterious half-faced creature to do his play, asking them quests to complete the game within the duration. As bonus, they are almost set as immortals, respawning after they die, if at least one of them survives until the time limit expires.",https://youtu.be/reSDBibEHzc,/images/posters/I'm Standing on a Million Lives.jpg,anime
Immortality,2021,"Lee Jin-wook, Kwon Nara, Lee Joon, Gong Seung-yeon, Kim Woo Seok",He Shupei,fantasy ,An immortal man's life becomes intertwined with that of a woman who lives with a cycle of death and reincarnation.,N/A,/images/posters/Immortality.jpg,series
Inuyasha,2000,"Richard Ian Cox, Satsuki Yukino, Moneca Stori, Kappei Yamaguchi, Toshiyuki Morikawa","Masashi Ikeda, Yasunao Aoki",fantasy ,"InuYasha is the story of a dog half-demon who is constantly after a jewel of immense power, the Shikon jewel, also no as the Shikon no tama. He lives in the forest near the village where the jewel is protected by a priestess named Kikyo.",https://youtu.be/EllmLUr39qk,/images/posters/Inuyasha.jpg,anime
It's Okay to Not Be Okay,2020,"Seo Ye Ji, Kim Soo-hyun, Park Gyu-young, Oh Jung-se, Kwak Dong-yeon",Park Shin-woo,romance ,A road to emotional healing opens up for an antisocial children's book author and an employee in a psychiatric hospital.,https://youtu.be/89i-Fn2CqQg,/images/posters/It's Okay to Not Be Okay.jpg,series
Joker,2019,"Joaquin Phoenix, Robert De Niro, Zazie Beetz, Glenn Fleshler, Shea Whigham",Todd Phillips,drama,"Forever alone in a crowd, failed comedian Arthur Fleck seeks connection as he walks the streets of Gotham City. Arthur wears two masks -- the one he paints for his day job as a clown, and the guise he projects in a futile attempt to feel like he's part of the world around him. Isolated, bullied and disregarded by society, Fleck begins a slow descent into madness as he transforms into the criminal mastermind known as the Joker.",https://youtu.be/zAGVQLHvwOY,/images/posters/Joker.jpg,movie
Jumanji: The Next Level,2019,"Dwayne Johnson, Jack Black, Kevin Hart, Awkwafina, Danny DeVito",Jake Kasdan,fantasy,"When Spencer goes back into the fantastical world of Jumanji, pals Martha, Fridge and Bethany re-enter the game to bring him home. But the game is now broken -- and fighting back. Everything the friends know about Jumanji is about to change, as they soon discover there's more obstacles and more danger to overcome.",https://youtu.be/rBxcF-r9Ibs,/images/posters/Jumanji- The Next Level.jpg,movie
Kakegurui,2018,"Yumeko Jabami, Midari Ikishima, Kirari Momobami, Runa Yomozuki, Mary Saotome",Tsutomu Hanabusa,drama ,"Yumeko Jabami enrolls at Hyakkaou Private Academy, where students are ranked by their gambling winnings, and fame and fortune await those who rise to the top.",https://youtu.be/cTlHQiRNVl0,/images/posters/Kakegurui.jpg,anime
Kill la Kill,2013,"Erica Mendez, Carrie Keranen, Christine Marie Cabanos, Sarah Anne Williams, Steve Staley",Kazuki Nakashima,comedy ,"Student council president Satsuki Kiryuin and her underlings, dubbed the Elite Four, rule Honnouji Academy. They have the school under complete control thanks to their special outfits -- Goku Uniforms -- that give them superhuman abilities. When transfer student Ryuko Matoi, who is searching for her father's killer, comes to Hannouji, she challenges the Elite Four to a battle that quickly consumes the school. When Satsuki recognizes Ryuko's scissor-shaped sword, she wonders if their encounter is just a coincidence or if it's fate.",https://youtu.be/B98NY8Hfo7I,/images/posters/Kill la Kill.jpg,anime
Knives Out,2019,"Ana de Arma, Daniel Craig, Chris Evans, Joseph Gordon-Levitt, Jamie Lee Curtis",Rian Johnson,mystery,"The circumstances surrounding the death of crime novelist Harlan Thrombey are mysterious, but there's one thing that renowned Detective Benoit Blanc knows for sure -- everyone in the wildly dysfunctional Thrombey family is a suspect. Now, Blanc must sift through a web of lies and red herrings to uncover the truth.",https://youtu.be/qOg3AoRc4nI,/images/posters/Knives Out.jpg,movie
Kokoro Connect,2012,"Takahiro Mizushima, Miyuki Sawashiro, Hisako Kanemoto, Takuma Terashima, Aki Toyosaki",Shin Oonuma Shinya Kawatsura,comedy ,It centers around five high school students facing numerous supernatural phenomena that forces them to reveal secrets that will test their bonds with each other.,https://youtu.be/MnkqA_PRRhM,/images/posters/Kokoro Connect.jpg,anime
Komi Can't Communicate,2021,"Aoi Koga, Gakuto Kajiwara, Murakawa Rie, Yurika Moriyama, Omoharu Nakaka",Yoshihito Okashita,drama ,"Hitohito Tadano is an ordinary boy who heads into his first day of high school with a clear plan: to avoid trouble and do his best to blend in with others. Unfortunately, he fails right away when he takes the seat beside the school's madonna—Shouko Komi. His peers now recognize him as someone to eliminate for a chance to sit next to the most beautiful girl in class.",https://www.youtube.com/watch?v=tLdLTSnmnoA,/images/posters/Komi Can't Communicate.jpg,anime
LA LA LAND,2016,"Emma Stone, Ryan Gosling, J.K. Simmons, John Legend, Callie Hernandez",Damien Chazelle,drama,"Sebastian (Ryan Gosling) and Mia (Emma Stone) are drawn together by their common desire to do what they love. But as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.",https://youtu.be/0pdqf4P9MB8,/images/posters/LA LA LAND.jpg,movie
Locke & Key,2020,"Emilia Jones, Connor Jessup, Darby Stanchfield, Hallea Jones, Jackson Robert Scott ",Ra'uf Glasgow; Kevin Lafferty,fantasy ,"Following their father's murder, three siblings move into a house filled with reality-bending keys; from the comics by Joe Hill and Gabriel Rodriguez.",https://youtu.be/_EonRi0yQOE,/images/posters/Locke & Key.jpg,series
Luca,2021,"Jack Dylan Grazer, Jacob Tremblay, Giacomo Gianniotti, Emma Berman, Maya Rudolph",Enrico Casarosa,fantasy,"Set in a beautiful seaside town on the Italian Riviera, the original animated feature is a coming-of-age story about one young boy experiencing an unforgettable summer filled with gelato, pasta and endless scooter rides. Luca shares these adventures with his newfound best friend, but all the fun is threatened by a deeply held secret: he is a sea monster from another world just below the water's surface.",https://youtu.be/mYfJxlgR2jw,/images/posters/Luca.jpg,movie
Lucifer,2016,"Tom Ellis, Lauren German, Kevin Alejandro, Lesley-Ann Brandt, D.B. Woodside",Richard Speight Jr,mystery ,"Based on characters created by Neil Gaiman, Sam Kieth and Mike Dringenberg, this series follows Lucifer, the original fallen angel, who has become dissatisfied with his life in hell. After abandoning his throne and retiring to Los Angeles, Lucifer indulges in his favorite things (women, wine and song) -- until a murder takes place outside of his upscale nightclub. For the first time in billions of years, the murder awakens something unfamiliar in Lucifer's soul that is eerily similar to compassion and sympathy. Lucifer is faced with another surprise when he meets an intriguing homicide detective named Chloe, who appears to possess an inherent goodness -- unlike the worst of humanity, to which he is accustomed. Suddenly, Lucifer starts to wonder if there is hope for his soul.",https://youtu.be/X4bF_quwNtw,/images/posters/Lucifer.jpg,series
Malignant,2021,"Annabelle Wallis, Mckenna Grace, Maddie Hasson, George Young, Jake Abel",James Wan,thriller ,"Paralyzed by fear from shocking visions, a woman's torment worsens as she discovers her waking dreams are terrifying realities.",https://youtu.be/Gczt0fhawDs,/images/posters/Malignant.jpg,movie
Manifest,2018,"Josh Dallas, Melissa Roxburgh, J.R. Ramirez, Jack Messina, Athena Karkanis",Paul Holahan,mystery ,"When Montego Air Flight 828 landed safely after a turbulent but routine flight, the crew and passengers were relieved. But in the span of those few hours, the world had aged five years -- and after mourning their loss, their friends, families and colleagues had given up hope and moved on. Now, faced with the impossible, they're all given a second chance. But as their new realities become clear, a deeper mystery unfolds, and some of the returned passengers soon realize they may be meant for something greater than they ever thought possible.",https://youtu.be/I1hNAIzkQWY,/images/posters/Manifest.jpg,series
Marianne,2019,"Victoire du Bois, Mireille Herbstmeyer, Lucie Boujenah, Tiphaine Daviot, Corinne Valancogne",Samuel Bodin,horror ,A famous horror writer who is lured back to her hometown discovers that the evil spirit who plagues her dreams is now wreaking havoc in the real world.,https://youtu.be/q99hib0zS2M,/images/posters/Marianne.jpg,series
Megalobox,2018,"Kaiji Tang, Greg Chun, Jason Marnocha, Erika Harlacher, Lex Lang",Yō Moriyama,drama ,"Junk Dog (JD), aka Joe, is a slumdog boxer who wants to make a name for himself as a legitimate boxer so he creates a fake persona in order to participate in the upcoming Megalonia Tournament, an international boxing competition for the best of the best.",https://youtu.be/gVxLZityaR0,/images/posters/Megalobox.jpg,anime
Midnight Mass,2021,"Kate Siegel, Hamish Linklater, Zach Gilford, Rahul Kohli, Samantha Sloyan",Mike Flanagan,horror ,"The arrival of a charismatic priest brings miracles, mysteries and renewed religious fervour to a dying town.",https://youtu.be/89UV8vmWXlY,/images/posters/Midnight Mass.jpg,series
Minions,2022,"Pierre Coffin, Steve Carell, Sandra Bullock, Chris Renaud, Jon Hamm",Kyle Balda,comedy,"In the 1970s, young Gru tries to join a group of supervillains called the Vicious 6 after they oust their leader -- the legendary fighter Wild Knuckles. When the interview turns disastrous, Gru and his Minions go on the run with the Vicious 6 hot on their tails. Luckily, he finds an unlikely source for guidance -- Wild Knuckles himself -- and soon discovers that even bad guys need a little help from their friends.",https://youtu.be/6DxjJzmYsXo,/images/posters/Minions.jpg,movie
Money Heist,2017,"Álvaro Morte, Úrsula Corberó, Pedro Alonso, Itziar Ituño, Jaime Lorente",Kim Hong-sun,thriller ,"A criminal mastermind who goes by ""The Professor"" has a plan to pull off the biggest heist in recorded history -- to print billions of euros in the Royal Mint of Spain. To help him carry out the ambitious plan, he recruits eight people with certain abilities and who have nothing to lose. The group of thieves take hostages to aid in their negotiations with the authorities, who strategize to come up with a way to capture The Professor. As more time elapses, the robbers prepare for a showdown with the police.",https://youtu.be/_InqQJRqGW4,/images/posters/Money Heist.jpg,series
Morbius,2022,"Jared Leto, Michael Keaton, Matt Smith, Adria Arjona, Tyrese Gibson",Daniel Espinosa,action,"Dangerously ill with a rare blood disorder and determined to save others from the same fate, Dr. Morbius attempts a desperate gamble. While at first it seems to be a radical success, a darkness inside of him is soon unleashed.",https://youtu.be/oZ6iiRrz1SY,/images/posters/Morbius.jpg,movie
Mr. Osomatsu,2015,"Takahiro Sakurai, Jun Fukuyama, Yuichi Nakamura, Hiroshi Kamiya, Miyu Irino",Osomatsu-san,comedy ,The everyday lives of identical sextuplets who cause mischief.,https://youtu.be/wg3HCKbQkhY,/images/posters/Mr. Osomatsu.jpg,anime
My Hero Academia,2016,"Justin Briner, Daiki Yamashita, Christopher Sabat, Clifford Chapin, Kenta Miyake",Kenji Nagasaki,action ,"The first season of the My Hero Academia anime series was produced by Bones and MBS and directed by Kenji Nagasaki. It adapts Kōhei Horikoshi's original manga series of the same name from the beginning of the 1st to shortly after the 3rd volume over 13 episodes, following the first adventures of Izuku Midoriya.",https://youtu.be/EPVkcwyLQQ8,/images/posters/My Hero Academia.jpg,anime
Nobody,2021,"Bob Odenkirk, Connie Nielsen, Christopher Lloyd, Michael Ironside, Colin Salmon",Ilya Naishuller,action,"Hutch Mansell fails to defend himself or his family when two thieves break into his suburban home one night. The aftermath of the incident soon strikes a match to his long-simmering rage. In a barrage of fists, gunfire and squealing tires, Hutch must now save his wife and son from a dangerous adversary -- and ensure that he will never be underestimated again.",https://youtu.be/wZti8QKBWPo,/images/posters/Nobody.jpg,movie
Old,2021,"M. Night Shyamalan, Thomasin McKenzie, Abbey Lee, Gael García Bernal, Alex Wolff",M. Night Shyamalan,thriller ,A thriller about a family on a tropical holiday who discover that the secluded beach where they are relaxing for a few hours is somehow causing them to age rapidly reducing their entire lives into a single day.,https://youtu.be/A4U2pMRV9_k,/images/posters/Old.jpg,movie
One Punch Man,2015,"Makoto Furukawa, Max Mittelman, Erik Scott Kimerer, Kaito Ishikawa, Zach Aguilar",Tomohiro Suzuki,action ,"Superheroes often have exciting superpowers that help them defeat the evil villains that they battle, but that's not necessarily the case for Saitama. Although he's a superhuman, his power isn't as exciting as X-ray vision or invincibility -- instead, he has the ability to defeat any opponent with a single punch, and this power has both pros and cons. The biggest advantage is that it makes it easy for him to defeat enemies -- which is essential because he lives in an alternate Japan that is constantly under attack by monsters -- but because it doesn't take long to throw a punch, easily vanquishing his foes leads to constant boredom.",https://youtu.be/Poo5lqoWSGw,/images/posters/One Punch Man.jpg,anime
Parasite,2019,"Cho Yeo Jeong, Choi Woo-shik, Park Seo-joon, Park So-dam, Jung Ji-so",Bong Joon-ho,drama,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,https://youtu.be/SEUXfv87Wpk,/images/posters/Parasite.jpg,movie
Prank Encounters,2019,"Gaten Matarazzo, David Storrs, Mary Gallagher, Olivia DeLaurentis, Sven Holmberg",Kevin Healey; Howard T. Owens; Ben Silverman; Rob Hyde; Gaten Matarazzo,comedy ,"Monstrous frights meet funny reveals as real people land in their own horror movie, and Gaten Matarazzo hosts the hidden-camera show.",https://youtu.be/kz32KVRZtvQ,/images/posters/Prank Encounters.jpg,series
Psycho-Pass,2012,"Kana Hanazawa, Tomokazu Seki, Miyuki Sawashiro, Kenji Nojima, Takahiro Sakurai","Naoyoshi Shiotani, Katsuyuki Motohiro",drama ,The adventures of Inspector Akane Tsunemori.,https://youtu.be/YzuJnyebc40,/images/posters/Psycho-Pass.jpg,anime
Ragnarok,2020,"Theresa Frostad Eggesbø, David Stakston, Herman Tømmeraas, Synnøve Macody Lund, Jonas Strand Gravli",Adam Price; Simen Alsvik; Marietta von Hausswolff von Baumgarten; Christian Gamst Miller-Harris; Jacob Katz Hansen,fantasy ,A small Norwegian town experiencing warm winters and violent downpours seems to be headed for another Ragnarok -- unless somebody intervenes in time.,https://youtu.be/7H9AaiBLHCo,/images/posters/Ragnarok.jpg,series
Rampo Kitan: Game of Laplace,2015,"Takahiro Sakurai, Rie Takahashi, Daiki Yamashita, Mai Nakahara, Katsuyuki Konishi",Seiji Kishi,mystery ,"The story begins at a middle school where the murder and dismemberment of a teacher has taken place. Kobayashi, a boy who goes to this school and the lead suspect in the case, meets the genius detective Akechi, who comes to the school to investigate. After being cleared of the crime, Kobayashi takes an interest in Akechi and, in spite of his friend Hashiba's worries, volunteers to be Akechi's assistant.",https://youtu.be/wksEHMkJZs0,/images/posters/Rampo Kitan- Game of Laplace.png,anime
Raya and the Last Dragon,2021,"Awkwafina, Kelly Marie Tran, Sandra Oh, Gemma Chan, Benedict Wong","Carlos López Estrada, Don Hall",fantasy,"Long ago, in the fantasy world of Kumandra, humans and dragons lived together in harmony. However, when sinister monsters known as the Druun threatened the land, the dragons sacrificed themselves to save humanity. Now, 500 years later, those same monsters have returned, and it's up to a lone warrior to track down the last dragon and stop the Druun for good.",https://youtu.be/1VIZ89FEjYI,/images/posters/Raya and the Last Dragon.jpg,movie
Reacher,2022,"Alan Ritchson, Malcolm Goodwin, Willa Fitzgerald, Hugh Thompson, Chris Webster","Norberto Barba, M.J. Bassett, Sam Hill, Omar Madha, Christine Moore, Lin Oeding, Stephen Surjik, Thomas Vincent",thriller ,Jack Reacher was arrested for murder and now the police need his help. Based on the books by Lee Child.,https://www.youtube.com/watch?v=GSycMV-_Csw,/images/posters/Reacher.jpg,series
Ready Player One,2018,"Tye Sheridan, Olivia Cooke, Mark Rylance, Win Morisaki, Ben Mendelsohn",Steven Spielberg,fantasy,"In 2045 the planet is on the brink of chaos and collapse, but people find salvation in the OASIS: an expansive virtual reality universe created by eccentric James Halliday. When Halliday dies, he promises his immense fortune to the first person to discover a digital Easter egg that's hidden somewhere in the OASIS. When young Wade Watts joins the contest, he finds himself becoming an unlikely hero in a reality-bending treasure hunt through a fantastical world of mystery, discovery and danger.",https://youtu.be/ixWL1BWi44U,/images/posters/Ready Player One.jpg,movie
Red Notice,2021,"Dwayne Johnson, Gal Gadot, Ryan Reynolds, Ritu Arya, Chris Diamantopoulos",Rawson Marshall Thurber,action,"In the world of international crime, an Interpol agent attempts to hunt down and capture the world's most wanted art thief.",https://youtu.be/Pj0wz7zu3Ms,/images/posters/Red Notice.jpg,movie
Restless,2022,"Franck Gastambide, Tracy Gotoas, Jemima West, Simon Abkarian, Michaël Abiteboul",Régis Blondeau,thriller ,"After going to extremes to cover up an accident, a corrupt cop's life spirals out of control when he starts receiving threats from a mysterious witness.",https://youtu.be/L8tCoWmooRE,/images/posters/Restless.jpg,movie
Riverdale,2017,"Lili Reinhart, Cole Sprouse, KJ Apa, Camila Mendes, Madelaine Petsch",J. B. Moranville,drama ,"Archie Andrews starts the school year with the world weighing on his shoulders. He's decided he wants to pursue a future in the music business, but his recently ended clandestine relationship with the music teacher has left him without a mentor, and his friendship with Jughead Jones is in a bad place. Things look like they might be turning around when Veronica Lodge, a new girl, arrives. Despite the instant chemistry, Veronica is hesitant to risk a friendship with Betty -- who has a crush on Archie -- to pursue anything. Amidst all the small-town banality lurks a mystery: the recent tragic death of Jason Blossom, the twin brother of beautiful and popular troublemaker, Cheryl.",https://youtu.be/HxtLlByaYTc,/images/posters/Riverdale.jpg,series
